date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:03	66331/66331	---M--	200	added ('OK')	image/jpeg	etag:%22204e233d188d31:0%22	http://www.swosu.edu/administration/reslife/images/r-j-hall/room3.jpg	./www.swosu.edu/administration/reslife/images/r-j-hall/room3.jpg	(from http://www.swosu.edu/administration/reslife/rogers-jefferson/r-j-pics.aspx)
11:21:07	21378/21378	---M--	200	added ('OK')	image/jpeg	etag:%2264cda133d188d31:0%22	http://www.swosu.edu/administration/reslife/images/hall-directors/joseph-dube.jpg	./www.swosu.edu/administration/reslife/images/hall-directors/joseph-dube.jpg	(from http://www.swosu.edu/administration/reslife/neff/staff.aspx)
11:21:12	28487/28487	---M--	200	added ('OK')	image/jpeg	etag:%22908f9932d188d31:0%22	http://www.swosu.edu/administration/reslife/images/neff-hall/1st-floor-neff-hall.jpg	./www.swosu.edu/administration/reslife/images/neff-hall/1st-floor-neff-hall.jpg	(from http://www.swosu.edu/administration/reslife/neff/floor-plans.aspx)
11:21:13	26231/26231	---M--	200	added ('OK')	image/jpeg	etag:%2218d8a732d188d31:0%22	http://www.swosu.edu/administration/reslife/images/neff-hall/2nd-floor-neff-hall.jpg	./www.swosu.edu/administration/reslife/images/neff-hall/2nd-floor-neff-hall.jpg	(from http://www.swosu.edu/administration/reslife/neff/floor-plans.aspx)
11:21:15	53435/53435	---M--	200	added ('OK')	image/jpeg	etag:%2280b4ad33d188d31:0%22	http://www.swosu.edu/administration/reslife/images/hall-directors/neff-staff.jpg	./www.swosu.edu/administration/reslife/images/hall-directors/neff-staff.jpg	(from http://www.swosu.edu/administration/reslife/neff/staff.aspx)
11:21:22	38194/38194	---M--	200	added ('OK')	image/jpeg	etag:%224015a332d188d31:0%22	http://www.swosu.edu/administration/reslife/images/neff-hall/neff-lobby.jpg	./www.swosu.edu/administration/reslife/images/neff-hall/neff-lobby.jpg	(from http://www.swosu.edu/administration/reslife/neff/neff-pics.aspx)
11:21:28	82086/82086	---M--	200	added ('OK')	image/jpeg	etag:%2248306532d188d31:0%22	http://www.swosu.edu/administration/reslife/images/neff-hall/lobby2.jpg	./www.swosu.edu/administration/reslife/images/neff-hall/lobby2.jpg	(from http://www.swosu.edu/administration/reslife/neff/neff-pics.aspx)
11:21:30	40692/40692	---M--	200	added ('OK')	image/jpeg	etag:%225cfcae32d188d31:0%22	http://www.swosu.edu/administration/reslife/images/neff-hall/neff-room.jpg	./www.swosu.edu/administration/reslife/images/neff-hall/neff-room.jpg	(from http://www.swosu.edu/administration/reslife/neff/neff-pics.aspx)
11:21:33	103064/103064	---M--	200	added ('OK')	image/jpeg	etag:%22fcf09b32d188d31:0%22	http://www.swosu.edu/administration/reslife/images/neff-hall/laundry1.jpg	./www.swosu.edu/administration/reslife/images/neff-hall/laundry1.jpg	(from http://www.swosu.edu/administration/reslife/neff/neff-pics.aspx)
11:21:33	24397/24397	---M--	200	added ('OK')	image/jpeg	etag:%22ec15b033d188d31:0%22	http://www.swosu.edu/administration/reslife/images/hall-directors/patty-murphy.jpg	./www.swosu.edu/administration/reslife/images/hall-directors/patty-murphy.jpg	(from http://www.swosu.edu/administration/reslife/oklahoma/staff.aspx)
11:21:40	27323/27323	---M--	200	added ('OK')	image/jpeg	etag:%22c09d8733d188d31:0%22	http://www.swosu.edu/administration/reslife/images/oklahoma-hall/floor-plans.jpg	./www.swosu.edu/administration/reslife/images/oklahoma-hall/floor-plans.jpg	(from http://www.swosu.edu/administration/reslife/oklahoma/floor-plans.aspx)
11:21:40	48741/48741	---M--	200	added ('OK')	image/jpeg	etag:%22a8f1a833d188d31:0%22	http://www.swosu.edu/administration/reslife/images/hall-directors/ok-staff.jpg	./www.swosu.edu/administration/reslife/images/hall-directors/ok-staff.jpg	(from http://www.swosu.edu/administration/reslife/oklahoma/staff.aspx)
11:21:53	65481/65481	---M--	200	added ('OK')	image/jpeg	etag:%22ccf37633d188d31:0%22	http://www.swosu.edu/administration/reslife/images/oklahoma-hall/lobby2.jpg	./www.swosu.edu/administration/reslife/images/oklahoma-hall/lobby2.jpg	(from http://www.swosu.edu/administration/reslife/oklahoma/oklahoma-pics.aspx)
